2026-02-01 12:35:00 | 192.168.0.103 -> 224.0.0.251 | UDP | Size: 103
2026-02-01 12:35:01 | 192.168.0.103 -> 224.0.0.251 | UDP | Size: 103
2026-02-01 12:35:01 | 192.168.0.113 -> 103.151.151.6 | TCP | Size: 55
2026-02-01 12:35:01 | 103.151.151.6 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:01 | 192.168.0.116 -> 224.0.0.251 | UDP | Size: 103
2026-02-01 12:35:01 | 192.168.0.113 -> 224.0.0.252 | OTHER | Size: 46
2026-02-01 12:35:02 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 264
2026-02-01 12:35:02 | 192.168.0.113 -> 192.168.0.1 | UDP | Size: 114
2026-02-01 12:35:02 | 192.168.0.113 -> 169.150.243.66 | UDP | Size: 72
2026-02-01 12:35:02 | 192.168.0.1 -> 192.168.0.113 | UDP | Size: 162
2026-02-01 12:35:02 | 192.168.0.113 -> 34.234.138.125 | TCP | Size: 66
2026-02-01 12:35:03 | 34.234.138.125 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:03 | 192.168.0.113 -> 34.234.138.125 | TCP | Size: 54
2026-02-01 12:35:03 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 136
2026-02-01 12:35:03 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 63
2026-02-01 12:35:03 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 74
2026-02-01 12:35:03 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 68
2026-02-01 12:35:03 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 269
2026-02-01 12:35:03 | 192.168.0.113 -> 34.234.138.125 | TCP | Size: 219
2026-02-01 12:35:03 | 192.168.0.113 -> 169.150.243.66 | UDP | Size: 72
2026-02-01 12:35:03 | 34.234.138.125 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:03 | 34.234.138.125 -> 192.168.0.113 | TCP | Size: 275
2026-02-01 12:35:03 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 363
2026-02-01 12:35:03 | 192.168.0.113 -> 34.234.138.125 | TCP | Size: 54
2026-02-01 12:35:03 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 363
2026-02-01 12:35:03 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 363
2026-02-01 12:35:03 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 68
2026-02-01 12:35:04 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 67
2026-02-01 12:35:04 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 69
2026-02-01 12:35:04 | 192.168.0.113 -> 169.150.243.66 | UDP | Size: 74
2026-02-01 12:35:04 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 68
2026-02-01 12:35:05 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 140
2026-02-01 12:35:05 | 192.168.0.113 -> 192.168.0.1 | UDP | Size: 73
2026-02-01 12:35:05 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 54
2026-02-01 12:35:05 | 192.168.0.113 -> 192.168.0.1 | UDP | Size: 73
2026-02-01 12:35:05 | 192.168.0.1 -> 192.168.0.113 | UDP | Size: 89
2026-02-01 12:35:05 | 192.168.0.1 -> 192.168.0.113 | UDP | Size: 89
2026-02-01 12:35:05 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 66
2026-02-01 12:35:06 | 51.210.24.169 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:06 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 54
2026-02-01 12:35:06 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 116
2026-02-01 12:35:06 | 192.168.0.113 -> 57.144.53.32 | TCP | Size: 123
2026-02-01 12:35:06 | 57.144.53.32 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:06 | 57.144.53.32 -> 192.168.0.113 | TCP | Size: 125
2026-02-01 12:35:06 | 192.168.0.113 -> 57.144.53.32 | TCP | Size: 54
2026-02-01 12:35:06 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:06 | 192.168.0.1 -> 192.168.0.255 | UDP | Size: 353
2026-02-01 12:35:06 | 162.55.196.176 -> 192.168.0.113 | UDP | Size: 92
2026-02-01 12:35:06 | 192.168.0.113 -> 162.55.196.176 | UDP | Size: 98
2026-02-01 12:35:06 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 1506
2026-02-01 12:35:06 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 111
2026-02-01 12:35:06 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 142
2026-02-01 12:35:06 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 54
2026-02-01 12:35:06 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 1502
2026-02-01 12:35:06 | 162.55.196.176 -> 192.168.0.113 | UDP | Size: 72
2026-02-01 12:35:06 | 162.55.196.176 -> 192.168.0.113 | UDP | Size: 65
2026-02-01 12:35:06 | 192.168.0.113 -> 162.55.196.176 | UDP | Size: 77
